Titres opération et projet lauréat,Thématique
Du street art quartier des impressionnistes Art urbain quartier des impressionnistes,Cadre de vie
Des bancs pour les écoles du boulevard Pereire Des bancs pour les écoles du boulevard Pereire,Education et jeunesse
Des lanternes pour le quartier historique du 2ème arrondissement Des lanternes pour le quartier historique du 2ème arrondissement,Cadre de vie
Aménager et équiper la cour de l'école de l'avenue de la Motte-Picquet Cour de récréation école élémentaire La Motte Picquet,Education et jeunesse
Installer des espaces de convivialité a Buttes-Chaumont et près du bassin de la Villette Installer des espaces de convivialité aux Buttes-Chaumont et près du bassin de la Villette,Cadre de vie
Développer le réseau cyclable dans le 19e Continuité cyclable rue Riquet,Mobilités
Piétonnisation du quartier Saint-Séverin Piétonnisation du quartier Saint-Séverin,Cadre de vie
Rénovation de la sous-dalle Beaugrenelle Rénovation de la sous-dalle Beaugrenelle,Cadre de vie
Remise en état de l'horloge de l'église Saint-Ambroise Remise en état horloge St Ambroise,Cadre de vie
Des améliorations rue Jeanne d'Arc Rénover les aménagements de la rue Jeanne-d’Arc,Cadre de vie
Cultiver au Champ-de-Mars Cultiver au Champ de Mars,Environnement
Les Petits Maraîchers - potagers pédagogiques en crèches Les Petits Maraîchers - potagers pédagogiques en crèches,Education et jeunesse
Pont Broca street art - Les Contes de la rue Broca Fresque rue Broca 1/2,Culture et patrimoine
Un terrain de basket aux Halles Playground du jardin des Halles,Sport
Parcours végétal et artistique entre Montmartre et les Puces Parcours végétal et artistique entre Montmartre et les Puces,Cadre de vie
Aménagements dans les écoles du quartier Epinettes - Bessières Réfectoire école maternelle BESSIERES,Education et jeunesse
Végétaliser les trottoirs du 15e Végétaliser les trottoirs du 15ème / 01- Gerbert en vert SPA,Cadre de vie
"Rénover les terrains de sports Michelet, Porte Chaumont et Barbanègre TEP Chaumont",Sport
+ de végétal dans les quartiers populaires Square Amadou Hampathé Bâ,Environnement
+ de végétal dans les quartiers populaires Parc Kellermann,Environnement
+ de végétal dans les quartiers populaires Square Alain Bashung,Environnement
+ de végétal dans les quartiers populaires Jardin Pixérécourt Réfection du jardin,Environnement
Du vert à tous les étages Centre Chaligny -15 rue de Chaligny 12e,Environnement
"Du vert à tous les étages Toit 15-19, rue Tandou 19e",Environnement
