Titre de l'opération,Thématique
Art urbain quartier des impressionnistes,Cadre de vie
Des bancs pour les écoles du boulevard Pereire,Education et jeunesse
Des lanternes pour le quartier historique du 2ème arrondissement,Cadre de vie
Cour de récréation école élémentaire La Motte Picquet,Education et jeunesse
Installer des espaces de convivialité aux Buttes-Chaumont et près du bassin de la Villette,Cadre de vie
Continuité cyclable rue Riquet,Mobilités
Piétonnisation du quartier Saint-Séverin,Cadre de vie
Rénovation de la sous-dalle Beaugrenelle,Cadre de vie
Remise en état horloge St Ambroise,Cadre de vie
Rénover les aménagements de la rue Jeanne-d’Arc,Cadre de vie
Cultiver au Champ de Mars,Environnement
Les Petits Maraîchers - potagers pédagogiques en crèches,Education et jeunesse
Fresque rue Broca 1/2,Culture et patrimoine
Playground du jardin des Halles,Sport
Parcours végétal et artistique entre Montmartre et les Puces,Cadre de vie
Réfectoire école maternelle BESSIERES,Education et jeunesse
Végétaliser les trottoirs du 15ème / 01- Gerbert en vert SPA,Cadre de vie
TEP Chaumont,Sport
Square Amadou Hampathé Bâ,Environnement
Parc Kellermann,Environnement
Square Alain Bashung,Environnement
Jardin Pixérécourt Réfection du jardin,Environnement
Centre Chaligny -15 rue de Chaligny 12e,Environnement
"Toit 15-19, rue Tandou 19e",Environnement
"Promenade Péreire - Mal Juin / Rennequin, Kiosque à musique",Cadre de vie
Des jardins sur les murs / 75009 - mur végétalisé 9 RUE AMBROISE THOMAS,Environnement
Des jardins sur les murs / 75010 - mur végétalisé 28 rue du Château Landon,Environnement
Conquête végétale du 10ème arrondissement / Installer des jardinières sur les trottoirs de la rue Vicq d’Azir,Environnement
Shaka,Culture et patrimoine
Installation oeuvre espace public,Culture et patrimoine
Faire vivre l'espace du Pont Louis Philippe,Cadre de vie
Isolation thermique école maternelle RICAUD,Education et jeunesse
Réaménager le parc Georges Brassens,Cadre de vie
Embellisement du jardin ludique de la Cabane Davout,Cadre de vie
Appel à Projet DRIHL,Solidarités
Rénovation des fontaines de la porte de Saint-Cloud,Cadre de vie
Des tables de tennis de table dans les jardins du 15e,Cadre de vie
En piste /porte de Courcelles,Mobilités
En piste/Porte de Champerret,Mobilités
39 rue des Bois,Cadre de vie
Hôtel insectes Promenade d'Australie,Environnement
Sanitaires école élémentaire GENERAL BIZOT,Education et jeunesse
Sanitaires école élémentaire FAGON,Education et jeunesse
Réfectoire GP JEAN BOUTON,Education et jeunesse
"Pour un arrondissement « treize » accessible aux personnes handicapées,  à mobilité réduite",Mobilités
Excellents Excédents - Un véhicule propre au service de la ramasse d'invendus alimentaires,Solidarités
Sécurisation traversée piétonne Crèche familiale Daumesnil/Diderotr les chemins des écoles du 12e,Prévention et sécurité
Coworking Robot Lab,Attractivité et emploi
Tennis TEP Mourlon,Sport
Colonne à verre enterrée - Place José Rizal (9e),Propreté
Colonne à verre enterrée Place Blanche (9e),Propreté
Fontaine pétillante Square Séverine,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Borne 033,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Arceau 037,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Arceau 039,Cadre de vie
Espaces de travail publics - La Permanence,Education et jeunesse
Du vert pour le 13e /3-Installer 15 pots géants sur 3 sites à différents endroits du quartier Masséna-Jeanne d’Arc en lien avec le Conseil de quartier,Environnement
Rue aux enfants - Rue Stanislas 6e,Cadre de vie
Rue aux enfants - Passage Rebière 17e,Cadre de vie
Quartier Soleil,Solidarités
Ecoute Interculturelle dans un Dispostif Inter Psy (EIDIP),Solidarités
Lucarne,Solidarités
CQFD,Solidarités
MACAO écritures - EVS l'Escale,Solidarités
Crescendo - Maison du Bas Belleville,Solidarités
La reconquête de la Petite Ceinture / Aménagement PC16,Cadre de vie
La reconquête de la Petite Ceinture / Aménagement PC17,Cadre de vie
Crèche Delbet 10 rue Delbet 14e,Environnement
Ferme du square Alain-Bashung,Environnement
"Réaménagement de l'accueil de jour ""Coeur du Cinq""",Solidarités
épicerie Kilogramme,Solidarités
Nettoyer plus facilement le Canal Saint-Martin,Propreté
Un 1er incubateur jeunes pour faire vivre leurs idées,Education et jeunesse
Rénovation au rez-de-chaussée de l'école Boursault,Education et jeunesse
Embellir la Pelouse de Reuilly / Rénovation des entrées de la pelouse de Reuilly,Environnement
Fresque Maternelle Rouvier,Education et jeunesse
Renouveau au Parc Monceau ! / Restaurer et rénover la pyramide du parc Monceau,Cadre de vie
Gymnase Buffon,Sport
CPA Censier,Sport
AAP pour le soutien au commerce de proximité,Attractivité et emploi
Cultiver dans les écoles / Ecole 1/3,Education et jeunesse
Cultiver dans les écoles / Ecole 2/3,Education et jeunesse
Cultiver dans les écoles / Ecole 4/4,Education et jeunesse
Cultiver dans les écoles / Ecole 7/7,Education et jeunesse
Cultiver dans les écoles / Ecole 2/12,Education et jeunesse
Cultiver dans les écoles / Ecole 3/12,Education et jeunesse
Cultiver dans les écoles / Ecole 3/17,Education et jeunesse
Cultiver dans les écoles / Ecole 17/17,Education et jeunesse
Cultiver dans les écoles / Ecole 2/23,Education et jeunesse
Cultiver dans les écoles / Ecole 22/23,Education et jeunesse
Cultiver dans les écoles / Ecole 3/11,Education et jeunesse
Cultiver dans les écoles / Ecole 11/20,Education et jeunesse
Cultiver dans les écoles / Ecole 2/30,Education et jeunesse
Cultiver dans les écoles / Ecole 3/30,Education et jeunesse
Cultiver dans les écoles / Ecole 24/30,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 32,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 38,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 48,Education et jeunesse
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 21,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 45,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 86,Propreté
matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 14,Propreté
Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 8,Propreté
Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 15,Propreté
GUSTAVE ROUANET (7) ELEM,Education et jeunesse
PIERRE BUDIN (5) ELEM,Education et jeunesse
RICHOMME (9) ELEM,Education et jeunesse
Conservatoire municipal du 14e arrondissement,Culture et patrimoine
Instrumenthèque Bibliothèque Jean-Pierre Melville,Culture et patrimoine
groupe scolaire rue Servan,Education et jeunesse
Ecole Elémentaire A et B 41 rue de Tanger,Cadre de vie
Cantine élémentaire A et B simon bolivar,Education et jeunesse
Ecole maternelle Thionville,Education et jeunesse
Espaces de travail publics - Studyspace => La Permanence,Education et jeunesse
Fontaine Brumisateur,Environnement
Un 12e encore plus végétalisé ! / 07 - complément de financement Végétalisation du Viaduc des Arts (C - 002527),Cadre de vie
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Equiper les écoles du 14ème-EE 3 rue d'Alésia,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Rue aux enfants - Parc Martin Luther King 17e Ludomouv'L'Assoce,Cadre de vie
