Identifiant de l'opération;Titre de l'opération;Titre du projet lauréat;Edition;Thématique;Direction pilote de l'opération;Type de financement de l'opération;Adresse de l'opération;Arrondissement de l'opération;Longitude;Latitude;Opération en Quartier Populaire;Quartier de l'opération;Avancement de l'opération;Date de début des études de l'opération;Date de lancement des procédures de l'opération;Date de lancement des travaux de l'opération;Date prévisonnelle de livraison de l'opération;Date d'ouverture de l'opération au public;Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet;geo_shape;geo_point_2d
2712;Art urbain quartier des impressionnistes;Du street art quartier des impressionnistes;2015;Cadre de vie;Direction des Affaires Culturelles;Régie;2 rue Gauguin;75017;2.3016;48.8896;non;36;FIN;2016-03;2018-06;2021-05;2021-05;2021-05;1442;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1442&portlet_id=158;Direction des Affaires Culturelles;30000;Budget participatif d’arrondissement;Rue Camille Pissarro;75017;Non;FIN;2016-03;2018-06;2021-05;2021-05;2021-05;;"{""coordinates"": [2.3015999995358656, 48.889600000226714], ""type"": ""Point""}";48.889600000226714, 2.3015999995358656
2723;Des bancs pour les écoles du boulevard Pereire;Des bancs pour les écoles du boulevard Pereire;2015;Education et jeunesse;Direction des Affaires Scolaires;;221 Boulevard Pereire;75017;2.2894;48.8805;non;128;FIN;2016-02;2016-03;2016-04;2016-05;2016-05;1467;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1467&portlet_id=158;Direction des Affaires Scolaires;5000;Budget participatif d’arrondissement;221 Boulevard Pereire;75017;Non;FIN;2016-02;2016-03;2016-04;2016-05;2016-05;;"{""coordinates"": [2.289399999396953, 48.880500000150136], ""type"": ""Point""}";48.880500000150136, 2.289399999396953
2750;Des lanternes pour le quartier historique du 2ème arrondissement;Des lanternes pour le quartier historique du 2ème arrondissement;2015;Cadre de vie;Direction de la Voirie et des Déplacements;;1, Rue du Mail;75002;2.34141;48.8664;non;78;FIN;2016-09;2016-09;2019-04;2019-06;2019-06;1519;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1519&portlet_id=158;Direction de la Voirie et des Déplacements;200000;Budget participatif d’arrondissement;Place des Petits Pères;75002;Non;FIN;2016-09;2016-09;2019-04;2019-06;2019-06;;"{""coordinates"": [2.3414099995272157, 48.866399999693336], ""type"": ""Point""}";48.866399999693336, 2.3414099995272157
2777;Cour de récréation école élémentaire La Motte Picquet;Aménager et équiper la cour de l'école de l'avenue de la Motte-Picquet;2015;Education et jeunesse;Direction des Affaires Scolaires;;10 Avenue de la Motte-Picquet;75007;2.3091;48.8569;non;60;FIN;2016-04;2016-05;2016-07;2016-11;2016-11;1604;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1604&portlet_id=158;Direction des Affaires Scolaires;50000;Budget participatif d’arrondissement;10 Avenue de la Motte-Picquet;75007;Non;FIN;2016-04;2016-05;2016-07;2016-11;2016-11;;"{""coordinates"": [2.3090999995117674, 48.85690000021931], ""type"": ""Point""}";48.85690000021931, 2.3090999995117674
2787;Installer des espaces de convivialité aux Buttes-Chaumont et près du bassin de la Villette;Installer des espaces de convivialité a Buttes-Chaumont et près du bassin de la Villette;2015;Cadre de vie;Direction des Espaces Verts et de l’Environnement;Régie;7 Place Armand Carrel;75019;2.3821;48.8829;non;75;FIN;2016-02;2017-02;2019-04;2019-05;2019-05;1629;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1629&portlet_id=158;Direction des Espaces Verts et de l’Environnement;60000;Budget participatif d’arrondissement;7 Place Armand Carrel;75019;Non;FIN;2016-02;2017-02;2019-04;2019-05;2019-05;;"{""coordinates"": [2.382099999621382, 48.88289999987432], ""type"": ""Point""}";48.88289999987432, 2.382099999621382
2794;Continuité cyclable rue Riquet;Développer le réseau cyclable dans le 19e;2015;Mobilités;Direction de la Voirie et des Déplacements;;7 Place Armand Carrel;75019;2.3821;48.8829;oui;75;FIN;2016-08;2016-09;2018-10;2020-02;2020-02;1647;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1647&portlet_id=158;Direction de la Voirie et des Déplacements;300000;Budget participatif d’arrondissement;7 Place Armand Carrel;75019;Oui;FIN;2016-08;2016-09;2018-04;2018-06;2020-02;;"{""coordinates"": [2.382099999621382, 48.88289999987432], ""type"": ""Point""}";48.88289999987432, 2.382099999621382
2807;Piétonnisation du quartier Saint-Séverin;Piétonnisation du quartier Saint-Séverin;2015;Cadre de vie;Direction de la Voirie et des Déplacements;;21 Place du Panthéon;75005;2.3446;48.8462;non;125;ABANDONNÉ;2015-12;;;;;1692;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1692&portlet_id=158;Direction de la Voirie et des Déplacements;15000;Budget participatif d’arrondissement;21 Place du Panthéon;75005;Non;ABANDONNÉ;;;;;;;"{""coordinates"": [2.3446000002007397, 48.8461999996899], ""type"": ""Point""}";48.8461999996899, 2.3446000002007397
2825;Rénovation de la sous-dalle Beaugrenelle;Rénovation de la sous-dalle Beaugrenelle;2015;Cadre de vie;Direction de la Voirie et des Déplacements;;13 Rue Robert de Flers;75015;2.2845;48.8498;non;50;FIN;2016-02;2016-07;2018-07;2019-04;2019-04;1745;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1745&portlet_id=158;Direction de la Voirie et des Déplacements;600000;Budget participatif d’arrondissement;13 Rue Robert de Flers;75015;Non;FIN;2016-02;2016-07;2018-07;2019-04;2019-04;;"{""coordinates"": [2.2844999995934265, 48.8498000003384], ""type"": ""Point""}";48.8498000003384, 2.2844999995934265
2831;Remise en état horloge St Ambroise;Remise en état de l'horloge de l'église Saint-Ambroise;2015;Cadre de vie;Direction des Affaires Culturelles;;71b Boulevard Voltaire;75011;2.3756;48.8611;non;112;FIN;2016-01;2016-03;2016-06;2016-07;2016-07;1779;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1779&portlet_id=158;Direction Constructions Publiques et Architecture;14000;Budget participatif d’arrondissement;71b Boulevard Voltaire;75011;Non;FIN;2016-01;2016-03;2016-06;2016-07;2016-07;;"{""coordinates"": [2.3755999999915334, 48.86110000034137], ""type"": ""Point""}";48.86110000034137, 2.3755999999915334
2906;Rénover les aménagements de la rue Jeanne-d’Arc;Des améliorations rue Jeanne d'Arc;2016;Cadre de vie;Direction de la Voirie et des Déplacements;;Rue Jeanne d'Arc;75013;2.3635;48.8335;oui;122;ABANDONNÉ;2020-10;;;;2024-06;2391;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=000852;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2391&portlet_id=158;Direction de la Voirie et des Déplacements;100000;Budget participatif d’arrondissement;Rue Jeanne d'Arc;75013;Oui;ABANDONNÉ;;;;;;;"{""coordinates"": [2.3634999995242048, 48.83350000034697], ""type"": ""Point""}";48.83350000034697, 2.3634999995242048
